ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
KODEX 운송,https://finance.naver.com/item/coinfo.nhn?code=140710,140710,삼성자산운용,0.450,92,1.21,17.95,64.99,90.85, 대한항공 ,30.60, HMM ,22.32, 현대글로비스 ,15.89, CJ대한통운 ,8.17, 팬오션 ,5.85, 한진칼 ,5.30, 아시아나항공 ,3.36, 한진 ,2.04, 진에어 ,1.67, 제주항공 ,1.64
KODEX 에너지화학,https://finance.naver.com/item/coinfo.nhn?code=117460,117460,삼성자산운용,0.450,215,-4.64,19.79,34.98,102.03, SK이노베이션 ,18.74, LG화학 ,17.73, 한화솔루션 ,7.54, 롯데케미칼 ,7.11, 금호석유 ,5.17, S-Oil ,4.92, SK케미칼 ,3.94, OCI ,3.23, SKC ,3.21, 한솔케미칼 ,2.98
KODEX 심천ChiNext(합성),https://finance.naver.com/item/coinfo.nhn?code=256750,256750,삼성자산운용,0.470,665,-7.99,14.67,9.89,32.02, CSOP CHINET ,, 스왑(미래에셋대우) ,, 스왑(키움증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KODEX 선진국MSCI World,https://finance.naver.com/item/coinfo.nhn?code=251350,251350,삼성자산운용,0.300,3540,2.20,7.81,9.18,13.13, LLOYDS BANKING GROUP PLC ,, VODAFONE GROUP PLC ,, BT GROUP PLC ,, HSBC Holdings PLC ,, APPLE Inc ,, WH GROUP LTD ,, BP PLC ,, BANCO SANTANDER SA ,, BARCLAYS PLC ,, INTESA SANPAOLO ,
KODEX 삼성그룹밸류,https://finance.naver.com/item/coinfo.nhn?code=213610,213610,삼성자산운용,0.150,128,-6.78,7.39,25.43,25.45, 삼성전자 ,22.11, 삼성SDI ,10.06, 삼성에스디에스 ,8.81, 삼성물산 ,8.27, 삼성생명 ,8.06, 삼성중공업 ,6.58, 삼성전기 ,6.11, 삼성화재 ,5.69, 삼성증권 ,5.01, 삼성엔지니어링 ,5.00
KODEX 삼성그룹,https://finance.naver.com/item/coinfo.nhn?code=102780,102780,삼성자산운용,0.250,17428,-7.89,12.40,29.23,42.38, 삼성전자 ,26.90, 삼성SDI ,24.38, 삼성바이오로직스 ,8.84, 삼성물산 ,8.40, 삼성전기 ,7.35, 삼성에스디에스 ,4.61, 삼성생명 ,4.48, 삼성화재 ,3.85, 삼성중공업 ,1.94, 호텔신라 ,1.75
KODEX 보험,https://finance.naver.com/item/coinfo.nhn?code=140700,140700,삼성자산운용,0.450,104,1.67,3.39,16.47,13.15, 삼성생명 ,25.24, 삼성화재 ,15.96, DB손해보험 ,14.05, 현대해상 ,11.89, 한화생명 ,9.59, 메리츠화재 ,7.40, 코리안리 ,5.40, 미래에셋생명 ,2.05, 한화손해보험 ,1.76, 동양생명 ,1.27
KODEX 밸류Plus,https://finance.naver.com/item/coinfo.nhn?code=244670,244670,삼성자산운용,0.300,47,-1.17,17.21,31.32,45.62, 오리온홀딩스 ,3.55, 한섬 ,3.42, CJ ,3.34, 대성홀딩스 ,3.31, 넥센타이어 ,3.15, LG유플러스 ,3.09, 한솔제지 ,3.06, 롯데하이마트 ,2.88, 코오롱인더 ,2.83, 화승인더 ,2.77
KODEX 배당성장채권혼합,https://finance.naver.com/item/coinfo.nhn?code=237370,237370,삼성자산운용,0.190,211,-1.14,4.13,7.47,13.50, KODEX 배당성장 ,, KODEX 국고채3년 ,, NH투자증권 ,, 메리츠화재 ,, 대상홀딩스 ,, 오리온홀딩스 ,, 한온시스템 ,, 휴켐스 ,, 현대그린푸드 ,, 한국주철관 ,
KODEX 배당성장,https://finance.naver.com/item/coinfo.nhn?code=211900,211900,삼성자산운용,0.150,257,-2.82,13.16,25.23,40.98, 현대차 ,5.50, 한국금융지주 ,4.99, 효성 ,4.41, 휴켐스 ,4.24, 메리츠화재 ,4.09, 금호석유 ,4.03, 롯데케미칼 ,3.95, 현대글로비스 ,3.69, NH투자증권 ,3.28, SK가스 ,2.96
KODEX 배당가치,https://finance.naver.com/item/coinfo.nhn?code=325020,325020,삼성자산운용,0.300,1655,-2.83,13.29,29.23,34.37, 삼성전자 ,17.76, 기아차 ,6.07, POSCO ,5.22, KB금융 ,4.30, 신한지주 ,4.26, SK텔레콤 ,3.20, 하나금융지주 ,3.04, SK ,2.77, KT&G ,2.64, LG ,2.63
KODEX 반도체,https://finance.naver.com/item/coinfo.nhn?code=091160,091160,삼성자산운용,0.450,1808,-4.37,24.03,35.43,36.91, SK하이닉스 ,24.31, DB하이텍 ,7.28, 원익IPS ,6.02, 리노공업 ,5.84, 고영 ,4.18, 티씨케이 ,3.64, 이오테크닉스 ,3.12, 서울반도체 ,2.76, 실리콘웍스 ,2.57, 네패스 ,2.38
KODEX 바이오,https://finance.naver.com/item/coinfo.nhn?code=244580,244580,삼성자산운용,0.450,234,-13.08,-0.78,-0.88,74.72, 한국파마 ,5.43, 압타바이오 ,3.01, 보령제약 ,2.71, 부광약품 ,2.67, 현대약품 ,2.63, 셀리버리 ,2.61, 녹십자랩셀 ,2.46, 녹십자홀딩스 ,2.26, 종근당 ,2.23, 녹십자 ,2.22
KODEX 미디어&엔터테인먼트,https://finance.naver.com/item/coinfo.nhn?code=266360,266360,삼성자산운용,0.450,620,1.11,17.35,6.77,68.51, 카카오 ,24.25, NAVER ,20.96, 엔씨소프트 ,17.10, 넷마블 ,13.78, 펄어비스 ,3.08, 제일기획 ,2.33, 카카오게임즈 ,2.22, 컴투스 ,2.10, 스튜디오드래곤 ,1.95, JYP Ent. ,1.68
KODEX 미국S&P에너지(합성),https://finance.naver.com/item/coinfo.nhn?code=218420,218420,삼성자산운용,0.250,203,21.64,26.15,26.89,-6.58, SPDR Energy Select Sector ,, 스왑(미래에셋대우) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KODEX 미국S&P산업재(합성),https://finance.naver.com/item/coinfo.nhn?code=200030,200030,삼성자산운용,0.250,96,6.04,4.65,11.66,8.76, Industrial Select Sector SPDR Fund ,, 스왑(미래에셋대우) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KODEX 미국S&P바이오(합성),https://finance.naver.com/item/coinfo.nhn?code=185680,185680,삼성자산운용,0.250,80,-5.35,16.50,24.21,44.16, SPDR Series Trust  SPDR S&P Biotech ETF ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KODEX 미국S&P고배당커버드콜(합성 H),https://finance.naver.com/item/coinfo.nhn?code=276970,276970,삼성자산운용,0.300,256,2.18,2.72,14.31,12.86, 스왑(신한금융투자) ,, 설정현금액 ,, 원화현금 ,
KODEX 미국S&P500선물(H),https://finance.naver.com/item/coinfo.nhn?code=219480,219480,삼성자산운용,0.250,1063,-0.05,5.31,11.39,22.07, SPDR S&P500 ETF ,, S&P500 E-MINI F2103 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
KODEX 미국FANG플러스(H),https://finance.naver.com/item/coinfo.nhn?code=314250,314250,삼성자산운용,0.450,4624,0.13,17.95,24.32,85.33, TWITTER INC ,, APPLE Inc ,, BAIDU INC ,, ALIBABA GROUP HOLDING-SP ADR ,, FACEBOOK ,, NVIDIA Corp ,, NETFLIX ,, TESLA MOTORS ,, ALPHABET INC-CL A ,, Amazon.com Inc ,
KODEX 미국채울트라30년선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=304670,304670,삼성자산운용,0.300,47,10.06,13.39,15.13,1.42, Proshares Short 20+ Year Treasury ,, US ULTRA BOND F2106 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국채울트라30년선물(H),https://finance.naver.com/item/coinfo.nhn?code=304660,304660,삼성자산운용,0.300,188,-9.22,-11.90,-14.46,-6.99, ISHARES 20+ YEAR TREASURY BO ,, US ULTRA BOND F2106 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국채10년선물,https://finance.naver.com/item/coinfo.nhn?code=308620,308620,삼성자산운용,0.300,125,-1.30,-1.48,-7.84,-5.77, US 10Yr Note F2106 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
KODEX 미국러셀2000(H),https://finance.naver.com/item/coinfo.nhn?code=280930,280930,삼성자산운용,0.450,462,1.79,17.58,39.25,36.37, ISHARES RUSSELL 2000 ETF ,, Emini Russell 2000 F2103 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국달러선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=261260,261260,삼성자산운용,0.450,48,-3.27,-4.02,10.29,11.35, KODEX 미국달러선물인버스 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국달러선물인버스,https://finance.naver.com/item/coinfo.nhn?code=261270,261270,삼성자산운용,0.450,51,-1.64,-2.06,5.25,6.07, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국달러선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=261250,261250,삼성자산운용,0.450,345,2.87,3.33,-10.16,-14.76, KODEX 미국달러선물 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국달러선물,https://finance.naver.com/item/coinfo.nhn?code=261240,261240,삼성자산운용,0.250,610,1.58,2.00,-4.96,-6.83, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 미국나스닥100선물(H),https://finance.naver.com/item/coinfo.nhn?code=304940,304940,삼성자산운용,0.450,341,-4.81,4.44,8.41,42.14, INVESCO QQQ TRUST ,, NASDAQ100 E-mini F2103 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 모멘텀Plus,https://finance.naver.com/item/coinfo.nhn?code=244620,244620,삼성자산운용,0.300,117,-9.48,3.28,-2.59,31.71, 리노공업 ,4.57, 한솔케미칼 ,4.48, 한미반도체 ,4.15, 티씨케이 ,4.15, 유진테크 ,3.46, 엔씨소프트 ,3.12, LG화학 ,2.98, 웹젠 ,2.88, NHN한국사이버결제 ,2.80, 에코프로 ,2.67
KODEX 멀티에셋하이인컴(H),https://finance.naver.com/item/coinfo.nhn?code=321410,321410,삼성자산운용,0.250,41,-1.80,0.44,3.34,-2.17, ISHARES INTERNATIONAL SELECT ,, ISHARES MORTGAGE REAL ESTATE ,, ISHARES EMERGING MKT DIV ,, ISHARES US PREFERRED STOCK E ,, ISHARES EMERGING MARKETS LOC ,, iShares MBS ETF ,, ISHARES CORE U.S. AGGREGATE ,, ISHARES 20+ YEAR TREASURY BO ,, ISHARES 10-20 YEAR TREASURY ,, ISHARES 7-10 YEAR TREASURY B ,
KODEX 레버리지,https://finance.naver.com/item/coinfo.nhn?code=122630,122630,삼성자산운용,0.640,16149,-7.12,37.99,71.79,99.23, KODEX 200TR ,, KODEX 200 ,, 삼성전자 ,, KOSEF 200 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, KB금융 ,, 미래에셋대우 ,
KODEX 단기채권PLUS,https://finance.naver.com/item/coinfo.nhn?code=214980,214980,삼성자산운용,0.150,9439,0.08,0.18,0.30,0.94, 국민은행3806이표일(03)3-27 ,, 국민은행4003이표일(03)1-13 ,, 국민은행4003이표일(03)1-17 ,, 국민은행4004이표일(03)1-21 ,, 국민은행4006이표일(03)1-3 ,, 국민은행4009이표일(03)1-29 ,, 국민은행4010이표일(03)1-14 ,, 농업금융채권(중앙회)2016-11이5Y-B ,, 산업금융채권19신이0200-0513-1(지 ,, 산업금융채권19신이0200-0607-1 ,
KODEX 단기채권,https://finance.naver.com/item/coinfo.nhn?code=153130,153130,삼성자산운용,0.150,19168,0.06,0.15,0.25,0.79, 통화안정증권00590-2107-01 ,, 통화안정증권00680-2201-01 ,, 통화안정증권00690-2111-01 ,, 통화안정증권00700-2109-01 ,, 통화안정증권00740-2206-02 ,, 통화안정증권00990-2103-01 ,, 통화안정증권01030-2204-02 ,, 통화안정증권01180-2108-02 ,, 통화안정증권01285-2202-02 ,, 통화안정증권01315-2110-02 ,
KODEX 단기변동금리부채권액티브,https://finance.naver.com/item/coinfo.nhn?code=273140,273140,삼성자산운용,0.150,1138,0.08,0.17,0.27,0.59, 산업금융채권20변이0100-0602-1M ,, 산업금융채권20변이0100-0806-1M ,, 신한은행24-06-이-1-A(변동) ,, 신한카드1877-2 ,, 중소기업은행(변)2005이1A-18 ,, 중소기업은행(변)2010이1A-27 ,, 하나은행43-09이1갑-29(1-변) ,, 한국수출입금융(변) 2007바-이표-1 ,, 한국수출입금융(변) 2008다-이표-1 ,, 설정현금액 ,
KODEX 다우존스미국리츠(H),https://finance.naver.com/item/coinfo.nhn?code=352560,352560,삼성자산운용,0.300,107,2.03,4.69,8.03,, ANNALY CAPITAL MANAGEMENT IN ,, WEYERHAEUSER CO ,, PROLOGIS INC ,, HOST HOTELS & RESORTS INC ,, INVITATION HOMES ,, HEALTHPEAK PROPERTIES INC ,, VICI PROPERTIES INC ,, MEDICAL PROPERTIES TRUST INC ,, AGNC INVESTMENT ,, AMERICAN TOWER CORP ,
KODEX 기계장비,https://finance.naver.com/item/coinfo.nhn?code=102960,102960,삼성자산운용,0.450,75,-4.49,2.24,20.99,26.62, 한국조선해양 ,16.51, 삼성중공업 ,8.98, 현대중공업지주 ,7.64, 두산중공업 ,6.13, 에코프로비엠 ,4.92, 두산밥캣 ,4.60, 현대엘리베이 ,4.15, 현대미포조선 ,3.90, 현대로템 ,3.83, 씨에스윈드 ,3.78
KODEX 글로벌4차산업로보틱스(합성),https://finance.naver.com/item/coinfo.nhn?code=276990,276990,삼성자산운용,0.300,204,-1.83,19.26,28.28,47.38, 스왑(미래에셋대우) ,, 스왑(신한금융투자) ,, 설정현금액 ,, 원화현금 ,
KODEX 국채선물3년인버스,https://finance.naver.com/item/coinfo.nhn?code=292770,292770,삼성자산운용,0.070,51,0.02,0.11,0.44,-0.04, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 국채선물10년인버스,https://finance.naver.com/item/coinfo.nhn?code=176950,176950,삼성자산운용,0.070,1155,1.51,2.47,4.31,4.22, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 국채선물10년,https://finance.naver.com/item/coinfo.nhn?code=152380,152380,삼성자산운용,0.250,197,-1.40,-2.19,-4.01,-3.86, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 국고채3년,https://finance.naver.com/item/coinfo.nhn?code=114260,114260,삼성자산운용,0.150,906,0.02,0.15,-0.05,1.04, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 원화현금 ,
KODEX 구리선물(H),https://finance.naver.com/item/coinfo.nhn?code=138910,138910,삼성자산운용,0.680,187,17.09,24.66,41.36,56.98, ETFs COPPER ,, COPPER F2105 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
KODEX 골드선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=280940,280940,삼성자산운용,0.450,37,5.16,1.85,8.07,-8.44, PROSHARES ULTRASHORT GOLD ,, E-mini Gold F2104 ,, GOLD 100oz F2104 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 골드선물(H),https://finance.naver.com/item/coinfo.nhn?code=132030,132030,삼성자산운용,0.680,2381,-5.24,-3.37,-9.48,2.82, SPDR GOLD SHARES ,, GOLD 100oz F2104 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
KODEX 고배당,https://finance.naver.com/item/coinfo.nhn?code=279530,279530,삼성자산운용,0.300,246,-1.12,7.78,21.30,23.35, 대신증권우 ,4.18, 동부건설 ,2.79, 현대차3우B ,2.65, 무림P&P ,2.53, 쌍용양회 ,2.52, 태경산업 ,2.46, 맥쿼리인프라 ,2.46, 미래에셋대우2우B ,2.30, NH투자증권우 ,2.30, 한국토지신탁 ,2.26
KODEX 경기소비재,https://finance.naver.com/item/coinfo.nhn?code=266390,266390,삼성자산운용,0.450,70,-6.84,17.79,23.37,28.17, LG전자 ,30.75, 코웨이 ,7.16, 강원랜드 ,6.03, 에이치엘비 ,5.85, 호텔신라 ,4.93, 휠라홀딩스 ,3.84, 신세계 ,3.74, CJ ENM ,2.81, 롯데쇼핑 ,2.38, 현대백화점 ,2.31
KODEX 게임산업,https://finance.naver.com/item/coinfo.nhn?code=300950,300950,삼성자산운용,0.450,104,-4.82,9.72,5.84,39.32, 엔씨소프트 ,26.15, 넷마블 ,18.92, 펄어비스 ,12.53, 컴투스 ,8.77, 웹젠 ,5.99, NHN ,5.10, 더블유게임즈 ,3.83, 위메이드 ,2.51, 네오위즈 ,2.21, 넵튠 ,1.99
KODEX 건설,https://finance.naver.com/item/coinfo.nhn?code=117700,117700,삼성자산운용,0.450,477,-2.19,21.88,30.54,34.60, 포스코케미칼 ,21.55, 현대건설 ,14.71, GS건설 ,10.42, 삼성엔지니어링 ,9.53, 대우건설 ,5.89, HDC현대산업개발 ,5.51, DL ,5.17, 아이에스동서 ,3.84, 쌍용양회 ,3.54, LG하우시스 ,2.17
KODEX 3대농산물선물(H),https://finance.naver.com/item/coinfo.nhn?code=271060,271060,삼성자산운용,0.550,146,5.33,17.17,40.08,31.40, KODEX 콩선물(H) ,, TEUCRIUM CORN FUND ,, Corn F2105 ,, WHEAT F2105 ,, SOYBEAN F2105 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 2차전지산업,https://finance.naver.com/item/coinfo.nhn?code=305720,305720,삼성자산운용,0.450,10850,-5.59,36.46,46.64,117.66, 포스코케미칼 ,17.53, SK이노베이션 ,16.08, LG화학 ,15.97, 삼성SDI ,14.15, 에코프로 ,13.69, 일진머티리얼즈 ,3.67, 씨아이에스 ,3.47, 에코프로비엠 ,3.36, 엘앤에프 ,2.98, 피엔티 ,1.91
KODEX 200TR,https://finance.naver.com/item/coinfo.nhn?code=278530,278530,삼성자산운용,0.050,16936,-3.17,18.96,33.45,50.08, 삼성전자 ,32.11, SK하이닉스 ,6.55, NAVER ,3.91, LG화학 ,3.14, 삼성SDI ,2.88, 현대차 ,2.76, 셀트리온 ,2.60, 카카오 ,2.52, 기아차 ,1.65, 현대모비스 ,1.61
KODEX 200IT TR,https://finance.naver.com/item/coinfo.nhn?code=363580,363580,삼성자산운용,0.150,601,-6.56,31.42,,, SK하이닉스 ,22.71, 삼성SDI ,20.12, 삼성전자 ,18.77, LG전자 ,11.49, 삼성전기 ,7.61, LG ,6.12, 삼성에스디에스 ,4.69, LG디스플레이 ,3.70, LG이노텍 ,2.05, DB하이텍 ,1.44
KODEX 200exTOP,https://finance.naver.com/item/coinfo.nhn?code=337150,337150,삼성자산운용,0.300,194,-3.72,15.24,24.85,47.61, SK하이닉스 ,9.49, NAVER ,5.69, LG화학 ,4.54, 삼성SDI ,4.17, 현대차 ,4.01, 셀트리온 ,3.77, 카카오 ,3.69, 기아차 ,2.39, 현대모비스 ,2.35, POSCO ,2.33
KODEX 200ESG,https://finance.naver.com/item/coinfo.nhn?code=337160,337160,삼성자산운용,0.300,250,-3.19,21.48,38.33,49.27, 삼성전자 ,27.35, SK하이닉스 ,8.70, NAVER ,5.18, LG화학 ,4.19, 삼성SDI ,3.81, 현대차 ,3.65, 카카오 ,3.36, 기아차 ,2.18, 현대모비스 ,2.15, POSCO ,2.13
KODEX 200선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=252670,252670,삼성자산운용,0.640,21469,5.07,-32.24,-47.78,-67.12, KODEX 인버스 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 200미국채혼합,https://finance.naver.com/item/coinfo.nhn?code=284430,284430,삼성자산운용,0.350,145,-2.42,5.90,6.29,14.53, KODEX 200 ,, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, KB금융 ,, 미래에셋대우 ,, 한화생명 ,, 한국전력 ,
KODEX 200롱코스닥150숏선물,https://finance.naver.com/item/coinfo.nhn?code=360140,360140,삼성자산운용,0.640,272,8.46,15.39,26.10,, KODEX 200 ,19.59, 삼성전자 ,11.64, SK하이닉스 ,2.37, NAVER ,1.42, LG화학 ,1.16, 삼성SDI ,1.05, 현대차 ,0.99, 셀트리온 ,0.95, 카카오 ,0.92, 기아차 ,0.60
KODEX 200동일가중,https://finance.naver.com/item/coinfo.nhn?code=252650,252650,삼성자산운용,0.250,93,-3.44,14.51,26.45,46.80, 세방전지 ,0.93, OCI ,0.80, 동원시스템즈 ,0.75, F&F ,0.73, DB하이텍 ,0.71, 포스코인터내셔널 ,0.70, 대한유화 ,0.70, 한화시스템 ,0.69, 현대위아 ,0.69, LG전자 ,0.67
KODEX 200가치저변동,https://finance.naver.com/item/coinfo.nhn?code=223190,223190,삼성자산운용,0.300,235,-2.29,15.32,32.88,37.60, 삼성전자 ,25.23, POSCO ,4.62, KB금융 ,4.18, LG전자 ,3.90, 기아차 ,3.67, 신한지주 ,3.44, SK텔레콤 ,3.34, NAVER ,2.78, 하나금융지주 ,2.74, 삼성물산 ,2.31
KODEX 200 중소형,https://finance.naver.com/item/coinfo.nhn?code=226980,226980,삼성자산운용,0.300,62,-3.37,17.06,29.29,63.16, HMM ,5.78, OCI ,2.74, SKC ,2.73, 한솔케미칼 ,2.54, 만도 ,2.39, 녹십자 ,2.39, DB하이텍 ,2.33, 두산중공업 ,2.30, 키움증권 ,2.06, DL이앤씨 ,1.96
KODEX 200,https://finance.naver.com/item/coinfo.nhn?code=069500,069500,삼성자산운용,0.150,50880,-3.02,18.82,33.34,50.03, 삼성전자 ,31.70, SK하이닉스 ,6.47, NAVER ,3.87, LG화학 ,3.11, 삼성SDI ,2.85, 현대차 ,2.73, 셀트리온 ,2.57, 카카오 ,2.51, 기아차 ,1.63, 현대모비스 ,1.60
KINDEX S&P아시아TOP50,https://finance.naver.com/item/coinfo.nhn?code=277540,277540,한국투자신탁운용,0.700,247,-2.49,16.47,23.33,39.86, CHINA CONSTRUCTION BANK-H ,, BANK OF CHINA LTD-H ,, IND & COMM BK OF CHINA-H ,, CHINA PETROLEUM & CHEMICAL-H ,, CTBC FINANCIAL HOLDING CO LT ,, TAIWAN SEMICONDUCTOR MANUFAC ,, XIAOMI CORP-CLASS B ,, HON HAI PRECISION INDUSTRY ,, AIA GROUP LTD ,, UNITED MICROELECTRONICS CORP ,
KINDEX KIS종합채권(AA-이상)액티브,https://finance.naver.com/item/coinfo.nhn?code=356540,356540,한국투자신탁운용,0.070,395,-0.45,-0.87,-1.51,, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01125-3909(19-6) ,, 국고채권01375-3006(20-4) ,, 국고채권01500-5003(20-2) ,, 농업금융채권(중앙회)2019-9이5Y-A ,, 롯데제과64-2 ,, 엘아이지넥스원7-1 ,, 예보기금특별계정채권2015-1 ,, 평택도시공사14 ,
KINDEX Fn성장소비주도주,https://finance.naver.com/item/coinfo.nhn?code=226380,226380,한국투자신탁운용,0.500,58,-4.20,9.12,9.12,28.21, 제이콘텐트리 ,2.69, 카카오 ,2.60, NAVER ,2.56, 빅히트 ,2.51, 한국콜마 ,2.47, 하나투어 ,2.44, 아프리카TV ,2.43, 모두투어 ,2.32, CJ CGV ,2.32, LG헬로비전 ,2.29
KINDEX Fn K-뉴딜디지털플러스,https://finance.naver.com/item/coinfo.nhn?code=368470,368470,한국투자신탁운용,0.250,75,-5.99,14.13,,, 카카오 ,12.41, NAVER ,12.35, 삼성SDI ,11.35, 엔씨소프트 ,10.03, LG화학 ,9.57, SK이노베이션 ,8.27, 셀트리온 ,7.92, 삼성바이오로직스 ,7.59, 셀트리온헬스케어 ,7.27, 포스코케미칼 ,2.63
KINDEX 필리핀MSCI(합성),https://finance.naver.com/item/coinfo.nhn?code=261920,261920,한국투자신탁운용,0.500,54,-2.55,-0.26,7.59,-7.43, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 코스피,https://finance.naver.com/item/coinfo.nhn?code=305050,305050,한국투자신탁운용,0.130,77,-4.01,17.17,29.70,47.26, 삼성전자 ,24.32, SK하이닉스 ,5.10, NAVER ,3.06, LG화학 ,2.91, 현대차 ,2.52, 삼성바이오로직스 ,2.43, 삼성SDI ,2.27, 카카오 ,2.15, 셀트리온 ,2.02, 기아차 ,1.61
KINDEX 코스닥150,https://finance.naver.com/item/coinfo.nhn?code=354500,354500,한국투자신탁운용,0.100,287,-10.82,2.44,2.59,, 셀트리온헬스케어 ,11.54, 에이치엘비 ,2.86, 알테오젠 ,2.48, 셀트리온제약 ,2.42, 씨젠 ,2.09, 제넥신 ,1.84, 현대바이오 ,1.71, 펄어비스 ,1.71, 원익IPS ,1.57, 리노공업 ,1.52
KINDEX 코스닥(합성),https://finance.naver.com/item/coinfo.nhn?code=251890,251890,한국투자신탁운용,0.300,79,-8.33,3.93,7.91,38.21, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,100.00
KINDEX 차이나항셍테크,https://finance.naver.com/item/coinfo.nhn?code=371870,371870,한국투자신탁운용,0.250,56,-8.69,,,, Lenovo Group Ltd ,, XIAOMI CORP-CLASS B ,, SMIC Equity ,, ALIBABA HEALTH INFO ,, KINGDEE INT'L ,, FIT HON TENG ,, WEIMOB INC ,, JD HEALTH INT ,, Tongcheng-Elong Holdings Ltd ,, YIXIN ,
KINDEX 중장기국공채액티브,https://finance.naver.com/item/coinfo.nhn?code=272910,272910,한국투자신탁운용,0.080,160,-0.29,-0.32,-0.83,0.42, 국고채권01125-2509(20-6) ,, 국고채권01375-3006(20-4) ,, 국고채권01500-2612(16-8) ,, 농업금융채권(중앙회)2019-9이5Y-A ,, 인천국제공항공사139 ,, 인천도시공사184 ,, 중소기업은행(신)1910이3A-30 ,, 설정현금액 ,, 원화현금 ,
KINDEX 중국본토CSI300레버리지(합성),https://finance.naver.com/item/coinfo.nhn?code=219900,219900,한국투자신탁운용,0.500,146,-3.64,23.91,27.81,65.71, CHINAAMC CSI 300 IDX ETF-HKD ,, CSOP CSI300 IDX 2X ETF ,, KINDEX 중국본토CSI300 ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 중국본토CSI300,https://finance.naver.com/item/coinfo.nhn?code=168580,168580,한국투자신탁운용,0.700,2168,-1.50,12.83,15.73,34.31, HUATAI-PB CSI300 ETF ,, IND & COMM BK OF CHINA-A ,, AGRICULTURAL BANK OF CHINA-A ,, BANK OF COMMUNICATIONS CO-A ,, BOE TECHNOLOGY GROUP CO LT-A ,, INNER MONGOLIAN BAOTOU STE-A ,, CHINA MINSHENG BANKING-A ,, BANK OF CHINA LTD-A ,, CHINA EVERBRIGHT BANK CO-A ,, BANK OF BEIJING CO LTD -A ,
KINDEX 일본TOPIX인버스(합성 H),https://finance.naver.com/item/coinfo.nhn?code=205720,205720,한국투자신탁운용,0.500,97,-1.80,-5.98,-15.10,-20.41, 스왑(미래에셋대우) ,, 설정현금액 ,, 원화현금 ,
KINDEX 일본TOPIX레버리지(H),https://finance.naver.com/item/coinfo.nhn?code=196030,196030,한국투자신탁운용,0.500,96,1.23,8.87,31.66,27.86, 외국환포워드(JPY) ,, DAIWA ETF - TOPIX ,, NIKKO ETF - TOPIX ,, NOMURA ETF - TOPIX ,, SIMPLEX TOPIX BULL 2X ETF ,, DAIWA ETF-TOPIX LVRG 2X IND ,, TOPIX INDEX F2103 ,, 설정현금액 ,, 원화현금 ,, JPY 예금 ,
